  9809     SPring-8 14b2 
 Pb-L21_PbTe_Si  21.02.10 08:03 - 21.02.10 08:09
 PbTe                                                                            
 Ring :   8.0 GeV    99.6 mA -   99.6 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 14.92483 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 6727
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       14.74500  12.58000    -0.000330       0.05      6727
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3         4
      Mode         0         0         1         2         3
    Offset         0         0   229.200   251.100   177.000
  14.61531  14.63472     0.050     29682     26696      3489
  14.61498  14.63438     0.050     29637     26655      3485
  14.61465  14.63403     0.050     29614     26643      3482
  14.61432  14.63367     0.050     29649     26674      3488
  14.61399  14.63331     0.050     29643     26674      3491
  14.61366  14.63295     0.050     29644     26688      3491
  14.61333  14.63261     0.050     29662     26708      3492
  14.61300  14.63228     0.050     29690     26733      3496
  14.61267  14.63196     0.050     29739     26771      3501
  14.61234  14.63164     0.050     29682     26729      3496
  14.61201  14.63132     0.050     29740     26780      3505
  14.61168  14.63100     0.050     29722     26777      3505
  14.61135  14.63069     0.050     29707     26753      3501
  14.61102  14.63038     0.050     29659     26725      3500
  14.61069  14.63008     0.050     29641     26717      3496
  14.61036  14.62981     0.050     29620     26693      3495
  14.61003  14.62955     0.050     29631     26708      3495
  14.60970  14.62929     0.050     29626     26710      3499
  14.60937  14.62902     0.050     29589     26686      3494
  14.60904  14.62875     0.050     29624     26717      3498
  14.60871  14.62847     0.050     29585     26670      3493
  14.60838  14.62818     0.050     29462     26566      3481
  14.60805  14.62790     0.050     29152     26313      3447
  14.60772  14.62762     0.050     28742     25929      3400
  14.60739  14.62733     0.050     28481     25691      3366
  14.60706  14.62703     0.050     28466     25696      3367
  14.60673  14.62670     0.050     28501     25724      3374
  14.60640  14.62635     0.050     28562     25784      3380
  14.60607  14.62598     0.050     28594     25829      3388
  14.60574  14.62560     0.050     28690     25907      3403
  14.60541  14.62523     0.050     28964     26159      3430
  14.60508  14.62488     0.050     29267     26435      3466
  14.60475  14.62455     0.050     29544     26686      3501
  14.60442  14.62420     0.050     29710     26838      3522
  14.60409  14.62385     0.050     29732     26852      3526
  14.60376  14.62348     0.050     29710     26851      3520
  14.60343  14.62312     0.050     29737     26868      3529
  14.60310  14.62276     0.050     29735     26860      3531
  14.60277  14.62243     0.050     29712     26860      3529
  14.60244  14.62211     0.050     29705     26870      3527
  14.60211  14.62180     0.050     29721     26877      3530
  14.60178  14.62148     0.050     29591     26768      3518
  14.60145  14.62116     0.050     29458     26655      3503
  14.60112  14.62084     0.050     29436     26619      3497
  14.60079  14.62052     0.050     29456     26640      3501
  14.60046  14.62022     0.050     29428     26635      3499
  14.60013  14.61993     0.050     29439     26648      3501
  14.59980  14.61967     0.050     29434     26637      3502
  14.59947  14.61941     0.050     29467     26663      3508
  14.59914  14.61915     0.050     29487     26693      3511
  14.59881  14.61887     0.050     29638     26839      3532
  14.59848  14.61859     0.050     29680     26880      3531
  14.59815  14.61831     0.050     29633     26853      3529
  14.59782  14.61802     0.050     29687     26887      3537
  14.59749  14.61774     0.050     29700     26901      3537
  14.59716  14.61746     0.050     29694     26910      3545
  14.59683  14.61716     0.050     29722     26924      3544
  14.59650  14.61685     0.050     29707     26921      3541
  14.59617  14.61650     0.050     29549     26781      3526
  14.59584  14.61613     0.050     29449     26700      3516
  14.59551  14.61575     0.050     29473     26727      3517
  14.59518  14.61538     0.050     29439     26681      3517
  14.59485  14.61502     0.050     29436     26688      3515
  14.59452  14.61468     0.050     29470     26727      3523
  14.59419  14.61434     0.050     29503     26768      3523
  14.59386  14.61399     0.050     29493     26766      3525
  14.59353  14.61362     0.050     29565     26832      3536
  14.59320  14.61325     0.050     29726     26965      3555
  14.59287  14.61289     0.050     29708     26959      3553
  14.59254  14.61255     0.050     29677     26952      3554
  14.59221  14.61222     0.050     29746     27005      3559
  14.59188  14.61190     0.050     29736     26998      3561
  14.59155  14.61159     0.050     29697     26969      3557
  14.59122  14.61127     0.050     29722     26994      3563
  14.59089  14.61094     0.050     29743     27027      3564
  14.59056  14.61063     0.050     29701     26988      3560
  14.59023  14.61032     0.050     29696     26988      3557
  14.58990  14.61003     0.050     29744     27017      3569
  14.58957  14.60975     0.050     29718     27005      3560
  14.58924  14.60949     0.050     29685     26989      3560
  14.58891  14.60922     0.050     29670     26979      3565
  14.58858  14.60896     0.050     29621     26930      3551
  14.58825  14.60868     0.050     29475     26799      3541
  14.58792  14.60840     0.050     29425     26758      3534
  14.58759  14.60811     0.050     29457     26777      3534
  14.58726  14.60782     0.050     29437     26779      3536
